Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
4,1,CSS 2 & Performance,Read 'Styling tables',Beginner,8, TRUE
4,1,CSS 2 & Performance,Read 'Debugging CSS',Beginner,Beginner,8, TRUE
4,1,CSS 2 & Performance,Read 'Organizing your CSS',Beginner,Beginner,8, TRUE
4,1,CSS 2 & Performance,Complete the exercise 'Test your skills: Tables',Beginner,8, TRUE
4,1,CSS 2 & Performance,Complete the exercise 'Fundamental CSS comprehension',Beginner,8, TRUE
4,1,CSS 2 & Performance,EXTRAS: Complete the exercise 'Creating fancy letterheaded paper',Beginner,0-10,FALSE,Upload the required assets to the user/week04/exercises/day01/creating_fancy_letterheaded_paper/ folder
4,1,CSS 2 & Performance,EXTRAS: Complete the exercise 'A cool-looking box',Beginner,0-10,FALSE,Upload the required assets to the user/week04/exercises/day01/a_cool_looking_box/ folder
