Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
2,1,Version Control: Git & GitHub,Watch 'Git Tutorial For Dummies' and code along,Beginner,7,TRUE
2,1,Version Control: Git & GitHub,Follow the steps mentioned in the 'Git Tutorial For Dummies' video and recreate the repository under your GitHub account,Beginner,8,TRUE, https://github.com/VoronaAV23/gitVideo
2,1,Version Control: Git & GitHub,Watch 'Git and GitHub for Beginners - Crash Course',Beginner,8,TRUE
2,1,Version Control: Git & GitHub,Sign up with GitHub,Beginner,8,TRUE,VoronaAV23
2,1,Version Control: Git & GitHub,Set up SSH keys for GitHub,Beginner,5,TRUE
2,1,Version Control: Git & GitHub,Create a (demo-repo) GitHub repository,Beginner,8,TRUE,https://github.com/VoronaAV23/demo-repo
2,1,Version Control: Git & GitHub,Create a profile README on GitHub following this guide: https://docs.github.com/en/account-and-profile/setting-up-and-managing-your-github-profile/customizing-your-profile/managing-your-profile-readme,Beginner, 8 ,TRUE, https://github.com/VoronaAV23/VoronaAV23/blob/main/README.md
2,1,Version Control: Git & GitHub,Update the terms sheet (/user/progress.draft.terms.csv) by giving 1 point to each of the git and CLI terms you've learned through this module,Beginner,0-10,FALSE,"Make sure to stage, commit and push your changes"
